11032026




Time	Temp 	Temp SP	    	    	    	CE1	CE2	CE3	CE4	CE5	Spare	Spare	Probe 1	Probe 2	Probe 3	Probe 4	Dev Alarm	N/C	Chamber On	WOP Temp	WOP Hum	I/C	1st LP	1st HP	2nd LP	2nd HP	1st Comp A	2nd Comp A	Inlet Water	Outlet Water	Smoke Det	Fan Mot Temp	


0	23.1	22.0	-	-	-	Off	Off	Off	Off	Off			0.4	-4.4	0.1	0.1	Off	Off	Off	-90.6	0.0	-4.4	6.9	6.2	3.7	7.5	0.1	0.1	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
60	23.1	22.0	-	-	-	Off	Off	Off	Off	Off			0.4	-4.4	0.1	0.1	Off	Off	Off	-92.2	0.0	-4.4	6.9	6.2	3.7	7.5	0.1	0.1	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
120	23.1	22.0	-	-	-	Off	Off	Off	Off	Off			0.4	-4.3	0.1	0.1	Off	Off	Off	-93.8	0.0	-4.3	6.9	6.3	3.7	7.5	0.1	0.1	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
180	23.3	15.0	-	-	-	Off	Off	Off	Off	Off			0.4	-8.7	15.6	0.1	Off	Off	On	-100.0	0.0	-8.7	1.4	10.2	3.7	8.0	15.6	0.1	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
240	12.0	15.0	-	-	-	Off	Off	Off	Off	Off			0.2	-10.1	14.5	19.1	Off	Off	On	-31.3	0.0	-10.1	1.0	9.5	2.5	14.2	14.5	19.1	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
300	1.8	15.0	-	-	-	Off	Off	Off	Off	Off			0.2	-17.0	14.7	17.0	Off	Off	On	100.0	0.0	-16.6	0.9	9.7	2.2	9.8	14.7	17.0	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
360	18.2	15.0	-	-	-	Off	Off	Off	Off	Off			0.2	-24.4	14.0	16.6	Off	Off	On	-26.7	0.0	-24.4	0.7	9.5	2.1	9.1	14.0	16.6	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
420	28.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-23.3	14.6	18.0	Off	Off	On	-100.0	0.0	-23.3	0.9	9.4	2.1	14.3	14.6	18.0	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
480	3.9	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-10.7	15.8	17.8	Off	Off	On	-55.2	0.0	-10.7	1.5	9.9	2.2	13.0	15.8	17.8	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
540	-4.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-18.2	15.2	17.1	Off	Off	On	-100.0	0.0	-18.2	1.2	9.8	1.9	12.4	15.2	17.1	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
600	-20.9	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-9.5	15.9	17.9	Off	Off	On	-84.1	0.0	-9.5	1.5	10.2	2.1	15.0	15.9	17.9	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
660	-32.5	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-13.3	15.3	17.3	Off	Off	On	-88.7	0.0	-13.3	1.2	10.1	1.9	12.9	15.3	17.0	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
720	-41.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-8.4	16.4	16.3	Off	Off	On	-100.0	0.0	-8.4	1.7	10.7	1.6	13.2	16.4	16.3	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
780	-49.3	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-15.1	15.3	16.1	Off	Off	On	-90.7	0.0	-15.1	1.2	10.3	1.6	12.0	15.3	16.1	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
840	-53.4	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-10.4	15.1	16.0	Off	Off	On	-79.8	0.0	-10.4	1.2	9.8	1.6	11.8	15.1	16.0	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
900	-55.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.1	-20.6	15.1	15.5	Off	Off	On	-73.6	0.0	-20.6	1.2	9.9	1.5	10.3	15.1	15.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
960	-56.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-26.2	14.6	15.9	Off	Off	On	-57.6	0.0	-26.2	1.0	9.9	1.7	9.5	14.6	15.9	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1020	-56.9	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-30.4	14.0	15.8	Off	Off	On	-45.1	0.0	-30.2	0.8	9.6	1.7	8.8	14.0	15.7	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1080	-53.6	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-34.1	14.0	16.2	Off	Off	On	-33.3	0.0	-34.1	0.7	8.9	1.9	8.9	14.0	16.2	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1140	-50.8	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-33.0	14.5	16.6	Off	Off	On	-41.1	0.0	-33.0	1.0	9.1	1.9	9.6	14.5	16.6	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1200	-51.4	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-32.7	14.5	16.5	Off	Off	On	-46.3	0.0	-32.7	1.0	9.1	1.9	9.7	14.5	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1260	-52.5	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-31.1	14.6	16.5	Off	Off	On	-44.5	0.0	-31.1	1.1	9.4	1.9	9.7	14.6	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1320	-53.4	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-32.8	14.3	16.5	Off	Off	On	-43.0	0.0	-32.8	0.9	8.9	1.9	10.0	14.3	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1380	-54.7	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-32.8	14.4	16.2	Off	Off	On	-31.3	0.0	-32.7	1.0	8.9	1.9	9.3	14.4	16.3	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1440	-55.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-34.4	14.5	16.5	Off	Off	On	-29.3	0.0	-34.4	1.0	8.9	1.9	9.3	14.5	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1500	-54.9	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-35.0	14.5	16.5	Off	Off	On	-27.6	0.0	-35.0	1.1	8.9	1.9	9.5	14.5	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1560	-54.6	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-35.5	14.5	16.6	Off	Off	On	-28.3	0.0	-35.5	1.0	8.9	2.0	9.5	14.5	16.6	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1620	-54.3	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-35.8	14.4	16.6	Off	Off	On	-27.8	0.0	-35.8	1.0	8.7	2.0	9.5	14.4	16.6	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1680	-54.3	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-36.3	14.3	16.5	Off	Off	On	-27.2	0.0	-36.3	0.9	8.6	2.0	9.3	14.3	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1740	-54.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-36.8	14.3	16.5	Off	Off	On	-26.8	0.0	-36.7	1.0	8.7	2.0	9.3	14.4	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1800	-54.3	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-37.2	14.4	16.5	Off	Off	On	-25.3	0.0	-37.2	1.0	8.8	2.0	9.3	14.4	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1860	-54.3	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-37.6	14.4	16.5	Off	Off	On	-24.8	0.0	-37.6	1.0	8.8	2.0	9.3	14.4	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1920	-54.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-37.8	14.4	16.5	Off	Off	On	-24.9	0.0	-37.8	1.0	8.7	2.0	9.3	14.4	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
1980	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-38.0	14.2	16.5	Off	Off	On	-24.9	0.0	-38.0	0.9	8.7	2.0	9.2	14.2	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
2040	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-38.2	14.2	16.4	Off	Off	On	-24.5	0.0	-38.2	0.9	8.7	2.0	9.2	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
2100	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-38.6	14.3	16.4	Off	Off	On	-23.5	0.0	-38.6	0.9	8.6	2.0	9.0	14.3	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
2160	-54.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-39.1	14.2	16.3	Off	Off	On	-23.0	0.0	-39.1	0.9	8.7	2.0	9.0	14.2	16.3	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
2220	-54.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-39.3	14.3	16.4	Off	Off	On	-22.0	0.0	-39.3	1.0	8.8	2.0	9.3	14.3	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
2280	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-39.4	14.3	16.5	Off	Off	On	-22.3	0.0	-39.4	1.0	8.8	2.0	9.2	14.3	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
2340	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-39.6	14.2	16.5	Off	Off	On	-22.7	0.0	-39.6	0.9	8.7	2.0	9.1	14.2	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
